entity_type	entity	needs_review	description_source	description_words	empty_description
DISEASE	diaper rash	1	standard	32	0
DISEASE	diaphragmatic hernia 1	1	MedGen	208	0
DISEASE	diarrhea	1	standard	43	0
DISEASE	diarrhea 10, protein-losing enteropathy type	0	standard	82	0
DISEASE	diarrhea functional (due to spastic colon)	1	modified_disease	29	0
DISEASE	diastrophic dysplasia	0	MONDO	37	0
DISEASE	dicarboxylic aminoaciduria	0	MONDO	15	0
DISEASE	diencephalic astrocytomas	1	standard	6	0
DISEASE	differentiated thyroid cancer	1	standard	25	0
DISEASE	differentiated thyroid carcinoma	1	standard	25	0
DISEASE	diffuse astrocytoma	1	standard	54	0
DISEASE	diffuse goiter	0	standard	9	0
DISEASE	diffuse idiopathic skeletal hyperostosis	0	MONDO	18	0
DISEASE	diffuse large b-cell lymphoma	1	standard	48	0
DISEASE	diffuse large b-cell non-hodgkin's lymphoma (nhl)	0	alias_disease	31	0
DISEASE	diffuse nonepidermolytic palmoplantar keratoderma	0	MONDO	65	0
DISEASE	digeorge syndrome	1	standard	34	0
DISEASE	digestive system carcinoma	1	standard	25	0
DISEASE	digestive system disorder	1	standard	16	0
DISEASE	digestive system infectious disorder	0	standard	13	0
DISEASE	digestive system neoplasm	1	standard	7	0
DISEASE	digestive system neuroendocrine neoplasm	1	standard	40	0
DISEASE	digestive system neuroendocrine tumor, grade 1/2	1	modified_disease	28	0
DISEASE	digital ulcer	1	standard	26	0
DISEASE	digitalis glycoside toxicity	1	standard	10	0
DISEASE	digitalis intoxication	0	standard	10	0
DISEASE	digitalis poisoning	0	standard	66	0
DISEASE	digitoxin overdose	1	standard	53	0
DISEASE	dilated cardiomyopathy	1	standard	40	0
DISEASE	dilated cardiomyopathy 1a	1	MedGen	82	0
DISEASE	dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome	0	MONDO	14	0
DISEASE	dilated mediastinal arteries	1	component_rescue	43	0
DISEASE	diphtheria	1	standard	44	0
DISEASE	diphyllobothriasis	1	standard	7	0
DISEASE	disc herniation	0	standard	23	0
DISEASE	discoid lupus erythematosus	1	standard	71	0
DISEASE	discrete aldosterone-producing adrenal adenomas	1	standard	24	0
DISEASE	disease response	0	standard	23	0
DISEASE	disorder characterized by fever	1	standard	10	0
DISEASE	disorder of fatty acid oxidation and ketogenesis	1	standard	13	0
DISEASE	disordered thought	0	corrected_overlay	17	0
DISEASE	disorders of initiating and maintaining sleep	0	standard	28	0
DISEASE	disruptive behavior disorder	1	standard	28	0
DISEASE	disseminated candidiasis	1	standard	31	0
DISEASE	disseminated coccidioidomycosis	1	standard	31	0
DISEASE	disseminated intravascular coagulation	1	standard	43	0
DISEASE	disseminated mycobacterial infections	1	standard	31	0
DISEASE	disseminated mycobacterium avium complex (mac) disease	0	corrected_overlay	27	0
DISEASE	distal renal tubular acidosis	1	standard	52	0
DISEASE	distal ulcerative colitis	1	standard	43	0
DISEASE	distributive shock	0	standard	18	0
DISEASE	disuse osteoporosis	0	standard	9	0
DISEASE	dizziness	1	standard	18	0
DISEASE	dna ligase iv deficiency	0	MONDO	36	0
DISEASE	documented ventricular arrhythmias	0	corrected_overlay	27	0
DISEASE	dog mast cell tumors	0	corrected_overlay	27	0
DISEASE	dohle bodies and leukemia	1	MedGen	12	0
DISEASE	donohue syndrome	0	MONDO	37	0
DISEASE	down syndrome	0	MONDO	63	0
DISEASE	dravet syndrome	1	standard	36	0
DISEASE	drooling	1	standard	3	0
DISEASE	drug allergy	1	standard	11	0
DISEASE	drug dependence	1	standard	7	0
DISEASE	drug misuse	0	standard	14	0
DISEASE	drug resistant tuberculosis	1	modified_disease	23	0
DISEASE	drug toxicity	1	standard	32	0
DISEASE	drug-induced anaphylaxis	1	modified_disease	32	0
DISEASE	drug-induced extrapyramidal disorders	1	modified_disease	15	0
DISEASE	drug-induced extrapyramidal reactions	1	modified_disease	11	0
DISEASE	drug-induced liver injury	1	modified_disease	36	0
DISEASE	drug-induced methemoglobinemia	1	modified_disease	30	0
DISEASE	dry eye in sjögren syndrome	1	standard	36	0
DISEASE	dry eye syndrome	1	standard	49	0
DISEASE	dry eye syndromes	0	standard	49	0
DISEASE	dry eyes	1	standard	49	0
DISEASE	dry scalp	1	standard	16	0
DISEASE	dry skin	1	standard	21	0
DISEASE	dubin-johnson syndrome	0	MONDO	26	0
DISEASE	duchenne muscular dystrophy	1	standard	86	0
DISEASE	duchenne muscular dystrophy (dmd)	1	alias_disease	25	0
DISEASE	ductal breast carcinoma in situ	1	standard	85	0
DISEASE	duodenal ulcer	1	standard	7	0
DISEASE	duodenal ulcers	0	standard	7	0
DISEASE	dupuytren's contracture	1	standard	37	0
DISEASE	dust mite allergy	0	standard	23	0
DISEASE	dysbetalipoproteinemia	1	standard	58	0
DISEASE	dyschondrosteosis-nephritis syndrome	0	MONDO	24	0
DISEASE	dysentery	1	standard	49	0
DISEASE	dysfunctional uterine bleeding	0	standard	27	0
DISEASE	dyshidroses	0	corrected_overlay	22	0
DISEASE	dyskeratosis congenita, x-linked	0	MONDO	5	0
DISEASE	dyskinesia	1	standard	57	0
DISEASE	dyskinesia with orofacial involvement, autosomal dominant	0	MONDO	58	0
DISEASE	dyslipidemia	1	standard	33	0
DISEASE	dysmenorrhea	1	standard	2	0
DISEASE	dysmenorrhoea	0	corrected_overlay	7	0
DISEASE	dyspareunia	1	standard	17	0
DISEASE	dysphonia	1	standard	7	0
DISEASE	dyspnea	1	standard	4	0
DISEASE	dysproteinemia	0	corrected_overlay	10	0
DISEASE	dysthymic disorder	1	standard	71	0
DISEASE	dystonia 5	1	MedGen	133	0
DISEASE	dystonia 9	0	MONDO	38	0
DISEASE	dysuria	1	standard	13	0
DISEASE	ear infection	1	standard	35	0
DISEASE	early hormone receptor-positive (her2+) breast cancer	1	modified_disease	16	0
DISEASE	early stage breast carcinoma	0	standard	15	0
DISEASE	early-onset severe toxicity	1	modified_disease	12	0
DISEASE	easy bruising	0	standard	10	0
DISEASE	eaton-lambert syndrome	1	standard	93	0
DISEASE	ebola hemorrhagic fever	1	standard	9	0
DISEASE	ebola virus infection	0	standard	9	0
DISEASE	ebstein anomaly	1	MedGen	113	0
DISEASE	ecg: extrasystole	1	standard	11	0
DISEASE	echinococcosis	1	standard	28	0
DISEASE	eclampsia	1	standard	13	0
DISEASE	ecthyma	1	standard	20	0
DISEASE	ectodermal dysplasia and immunodeficiency 1	1	standard	40	0
DISEASE	ectodermal dysplasia-blindness syndrome	0	MONDO	53	0
DISEASE	ectopic ossification	0	standard	9	0
DISEASE	eczema	1	standard	19	0
DISEASE	eczema vaccinatum	0	standard	35	0
DISEASE	edema	1	standard	20	0
DISEASE	edema associated with congestive heart failure	1	modified_disease	35	0
DISEASE	edema in chronic kidney disease	1	standard	20	0
DISEASE	egfr gene mutation	1	modified_disease	27	0
DISEASE	egfr t790m mutation positive non-small cell lung carcinoma	1	modified_disease	40	0
DISEASE	egfr-expressing metastatic colorectal carcinoma	0	corrected_overlay	17	0
DISEASE	ehlers-danlos syndrome	1	standard	43	0
DISEASE	eiken syndrome	0	MONDO	29	0
DISEASE	eisenmenger syndrome	1	standard	51	0
DISEASE	electrolyte imbalance	0	standard	18	0
DISEASE	elephantiasis	1	standard	18	0
DISEASE	embolism	1	standard	22	0
DISEASE	embolism, tumor	0	standard	12	0
DISEASE	embryonal carcinoma	1	standard	56	0
DISEASE	embryonal rhabdomyosarcoma	0	MONDO	23	0
DISEASE	emotional stress	0	standard	5	0
DISEASE	emphysema	1	standard	9	0
DISEASE	emphysematous bronchitis	1	standard	8	0
DISEASE	empyema	1	standard	10	0
DISEASE	empyema, pleural	0	standard	6	0
DISEASE	encephalitis, herpes simplex	1	standard	87	0
DISEASE	encephalocraniocutaneous lipomatosis	0	MONDO	21	0
DISEASE	encephalopathy, axonal, with necrotizing myopathy, cardiomyopathy, and cataracts	1	HPO	28	0
DISEASE	end stage renal failure	1	standard	52	0
DISEASE	endocardial fibroelastosis	0	MONDO	9	0
DISEASE	endocarditis	1	standard	41	0
DISEASE	endocervicitis	1	standard	4	0
DISEASE	endocrine exophthalmos	0	standard	30	0
DISEASE	endogenous anterior uveitis	0	corrected_overlay	26	0
DISEASE	endogenous depression	1	standard	26	0
DISEASE	endometrial cancer	1	standard	35	0
DISEASE	endometrial carcinoma	1	standard	35	0
DISEASE	endometrial disorder	1	standard	18	0
DISEASE	endometrial hyperplasia	1	standard	36	0
DISEASE	endometrial hyperplasia without atypia	1	standard	12	0
DISEASE	endometriosis	1	standard	29	0
DISEASE	endometriosis, susceptibility to, 1	1	MONDO	21	0
DISEASE	endometritis	1	standard	18	0
DISEASE	endomyometritis	1	standard	18	0
DISEASE	enteritis	1	standard	8	0
DISEASE	enterobacter cloacae infection	0	corrected_overlay	14	0
DISEASE	enterobacteriaceae infections	0	standard	7	0
DISEASE	enterobiasis	1	standard	29	0
DISEASE	enterococcal infection	0	corrected_overlay	9	0
DISEASE	enterococcus faecalis infection	0	standard	49	0
DISEASE	enterocolitis	1	standard	21	0
DISEASE	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	MedGen	89	0
DISEASE	enthesitis-related juvenile idiopathic arthritis	1	modified_disease	82	0
DISEASE	enuresis, nocturnal, 1	0	MONDO	22	0
DISEASE	envenomation caused by bites from eastern coral snakes (micrurus fulvius fulvius)	0	modified_disease	50	0
DISEASE	envenomation caused by bites from texas coral snakes (micrurus fulvius tenere)	0	modified_disease	50	0
DISEASE	eosinophil peroxidase deficiency	0	MONDO	20	0
DISEASE	eosinophilia	1	standard	10	0
DISEASE	eosinophilic esophagitis	1	standard	49	0
DISEASE	eosinophilic granulomatosis with polyangiitis	1	standard	29	0
DISEASE	eosinophilic granulomatosis with polyangiitis (egpa)	1	alias_disease	26	0
DISEASE	ependymoma	1	standard	93	0
DISEASE	epicondylitis	1	standard	5	0
DISEASE	epidermal burn of skin	0	corrected_overlay	10	0
DISEASE	epidermolysis bullosa dystrophica	1	standard	57	0
DISEASE	epidermolytic hyperkeratosis 1	1	MedGen	114	0
DISEASE	epididymitis	1	standard	45	0
DISEASE	epiglottis cancer	0	standard	16	0
DISEASE	epilepsies, myoclonic	0	standard	36	0
DISEASE	epilepsy	1	standard	77	0
DISEASE	epilepsy with generalized tonic-clonic seizures	1	standard	4	0
DISEASE	epilepsy, absence	0	standard	84	0
DISEASE	epilepsy, akinetic	0	standard	46	0
DISEASE	epilepsy, childhood absence, susceptibility to, 1	1	MONDO	38	0
DISEASE	epilepsy, early-onset, vitamin b6-dependent	1	modified_disease	48	0
DISEASE	epilepsy, idiopathic generalized, susceptibility to, 11	0	MONDO	24	0
DISEASE	epilepsy, idiopathic generalized, susceptibility to, 7	1	MONDO	38	0
DISEASE	epilepsy, idiopathic generalized, susceptibility to, 9	0	MONDO	17	0
DISEASE	epilepsy, juvenile absence, susceptibility to, 1	1	MONDO	38	0
DISEASE	epilepsy, x-linked 1, with variable learning disabilities and behavior disorders	0	MONDO	54	0
DISEASE	epiphora due to excess lacrimation	1	modified_disease	26	0
DISEASE	epiphysiolysis	1	standard	11	0
DISEASE	episcleritis	1	standard	110	0
DISEASE	episodic ataxia type 1	0	MONDO	18	0
DISEASE	episodic ataxia type 2	0	MONDO	22	0
DISEASE	episodic migraine	0	corrected_overlay	13	0
DISEASE	epistaxis	1	standard	4	0
DISEASE	epithelial keratitis	1	standard	34	0
DISEASE	epithelial ovarian cancer	1	standard	54	0
DISEASE	epithelioid sarcoma	1	standard	15	0
DISEASE	epstein-barr virus-positive diffuse large b-cell lymphoma (ebv+ dlbcl) not otherwise specified (nos)	1	modified_disease	39	0
DISEASE	equinus deformity	0	standard	5	0
DISEASE	erbb2 overexpression	1	standard	12	0
DISEASE	erectile dysfunction	1	standard	16	0
DISEASE	erectile dysfunction, ctcae	0	standard	19	0
DISEASE	erosive esophagitis	1	standard	10	0
DISEASE	erosive or ulcerative gastroesophageal reflux disease	1	standard	41	0
DISEASE	erysipelas	1	standard	43	0
DISEASE	erysipeloid	1	standard	59	0
DISEASE	erythema migrans	0	standard	24	0
DISEASE	erythema multiforme	1	standard	32	0
DISEASE	erythema nodosum leprosum	1	standard	33	0
DISEASE	erythrasma	1	standard	14	0
DISEASE	erythroderma	1	standard	59	0
DISEASE	erythrodermic psoriasis	0	corrected_overlay	12	0
DISEASE	erythroleukemia	1	standard	21	0
DISEASE	erythropoietic protoporphyria	1	standard	51	0
DISEASE	escherichia coli infection	1	standard	8	0
DISEASE	escherichia coli infections	1	standard	8	0
DISEASE	escherichia coli meningitis	1	standard	75	0
DISEASE	esophageal adenocarcinoma	1	standard	64	0
DISEASE	esophageal atresia	1	standard	26	0
DISEASE	esophageal cancer	1	standard	6	0
DISEASE	esophageal candidiasis	1	standard	4	0
DISEASE	esophageal erosions	0	standard	12	0
DISEASE	esophageal squamous cell carcinoma	1	standard	44	0
DISEASE	esophageal stricture	1	standard	12	0
DISEASE	esophageal varices	1	standard	34	0
DISEASE	esophageal varices with bleeding	0	standard	4	0
DISEASE	esophagitis	1	standard	13	0
DISEASE	esophagitis, peptic	0	standard	20	0
DISEASE	esotropia	1	standard	43	0
DISEASE	essential fatty acid deficiency	0	corrected_overlay	16	0
DISEASE	essential hypertension	1	standard	27	0
DISEASE	essential hypertension, genetic	0	MONDO	15	0
DISEASE	essential thrombocythemia	1	standard	18	0
DISEASE	essential tremor	1	standard	55	0
DISEASE	estrogen-receptor positive breast cancer	1	modified_disease	22	0
DISEASE	ethanol consumption	0	corrected_overlay	24	0
DISEASE	ethylene glycol poisoning	0	standard	66	0
DISEASE	ethylmalonic encephalopathy	0	MONDO	36	0
DISEASE	ewing sarcoma	1	standard	37	0
DISEASE	ewing's sarcoma	1	standard	37	0
DISEASE	exacerbations of chronic psychosis	1	modified_disease	39	0
DISEASE	exanthem	1	standard	52	0
DISEASE	exanthema	1	standard	52	0
DISEASE	excess lmw-dna	0	corrected_overlay	23	0
DISEASE	excess stomach acid	0	corrected_overlay	26	0
DISEASE	excessive bleeding results from heparin use	0	corrected_overlay	20	0
DISEASE	exercise-induced anaphylaxis	1	standard	54	0
DISEASE	exercise-induced angina	1	standard	30	0
DISEASE	exercise-induced bronchoconstriction	1	standard	16	0
DISEASE	exercise-induced bronchospasm	1	standard	57	0
DISEASE	exfoliation syndrome, susceptibility to	0	MONDO	9	0
DISEASE	exfoliative dermatitis	1	standard	59	0
DISEASE	exocrine pancreatic insufficiency	1	standard	39	0
DISEASE	exogenous obesity	0	standard	9	0
DISEASE	exostoses-anetodermia-brachydactyly type e syndrome	0	MONDO	44	0
DISEASE	exposure keratitis	1	standard	11	0
DISEASE	extensive-stage small cell lung cancer (es-sclc)	1	modified_disease	26	0
DISEASE	extensively drug-resistant tuberculosis	1	modified_disease	71	0
DISEASE	extensively-drug resistant tuberculosis	1	modified_disease	71	0
DISEASE	external eye infections	1	standard	30	0
DISEASE	extragonadal germ cell tumor	1	standard	23	0
DISEASE	extrahepatic cholestasis	1	standard	20	0
DISEASE	extraintestinal amebiasis	1	standard	35	0
DISEASE	extrapulmonary tuberculosis	1	standard	8	0
DISEASE	extrapyramidal and movement disease	1	standard	20	0
DISEASE	extrapyramidal disorders	0	standard	45	0
DISEASE	extravasation of chemotherapeutic agent	1	standard	60	0
DISEASE	extravascular hemolysis	0	standard	19	0
DISEASE	extrinsic allergic alveolitis	1	standard	36	0
DISEASE	eye adnexa disorder	0	standard	6	0
DISEASE	eye disorder	1	standard	4	0
DISEASE	eye infection	1	standard	29	0
DISEASE	eye infections	1	standard	29	0
DISEASE	eye infections, bacterial	0	standard	30	0
DISEASE	eye irritations	0	corrected_overlay	16	0
DISEASE	eye redness	0	standard	18	0
DISEASE	eyelid disorder	1	standard	5	0
DISEASE	fabry disease	1	standard	41	0
DISEASE	fabry's disease	1	standard	41	0
DISEASE	facial acne vulgaris	1	standard	19	0
DISEASE	facial angiofibroma associated with tuberous sclerosis complex	1	curated_standard_definition	35	0
DISEASE	facial hirsutism	0	corrected_overlay	23	0
DISEASE	facioscapulohumeral muscular dystrophy 1	0	MONDO	19	0
DISEASE	facioscapulohumeral muscular dystrophy 2	0	MONDO	18	0
DISEASE	factor v and factor viii, combined deficiency of, type 1	0	MONDO	23	0
DISEASE	factor vii and factor viii, combined deficiency of	1	MedGen	16	0
DISEASE	factor viii and factor ix, combined deficiency of	1	NCI Thesaurus	12	0
DISEASE	factor xiii deficiency	1	standard	24	0
DISEASE	factors viii, ix and xi, combined deficiency of	1	MedGen	12	0
DISEASE	fadd-related immunodeficiency	0	MONDO	89	0
DISEASE	falciparum malaria	1	standard	7	0
DISEASE	fallopian tube cancer	1	standard	35	0
DISEASE	fallopian tube carcinoma	1	standard	11	0
DISEASE	familial acute necrotizing encephalopathy	0	MONDO	23	0
DISEASE	familial adenomatous polyposis 1	0	MONDO	40	0
DISEASE	familial adenomatous polyposis 2	0	MONDO	28	0
DISEASE	familial amyloid neuropathy	1	modified_disease	23	0
DISEASE	familial antiphospholipid syndrome	0	MONDO	6	0
DISEASE	familial apolipoprotein c-ii deficiency	1	MONDO	15	0
DISEASE	familial atrial myxoma	1	MONDO	14	0
DISEASE	familial caudal dysgenesis	0	MONDO	86	0
DISEASE	familial chylomicronemia	1	modified_disease	23	0
DISEASE	familial chylomicronemia syndrome	1	modified_disease	71	0
DISEASE	familial cold auto-inflammatory syndrome (fcas)	0	corrected_overlay	21	0
DISEASE	familial cold autoinflammatory syndrome	1	modified_disease	29	0
DISEASE	familial digital arthropathy-brachydactyly	0	MONDO	42	0
DISEASE	familial dupuytren contracture	1	modified_disease	79	0
DISEASE	familial gestational hyperthyroidism	1	MONDO	14	0
DISEASE	familial hypercholesterolemia	1	modified_disease	29	0
DISEASE	familial hypercholesterolemia - heterozygous	0	corrected_overlay	29	0
DISEASE	familial hyperlipidaemia	1	modified_disease	14	0
DISEASE	familial hyperlipidemia	1	modified_disease	38	0
DISEASE	familial hyperprolactinemia	0	MONDO	74	0
DISEASE	familial hypobetalipoproteinemia 1	0	MONDO	16	0
DISEASE	familial hypobetalipoproteinemia 2	0	MONDO	16	0
DISEASE	familial hypophosphatemia	1	modified_disease	72	0
DISEASE	familial idiopathic inflammatory myopathy	0	MONDO	20	0
DISEASE	familial infantile myoclonic epilepsy	0	MONDO	33	0
DISEASE	familial isolated deficiency of vitamin e	0	MONDO	38	0
DISEASE	familial isolated hypoparathyroidism due to agenesis of parathyroid gland	1	MedGen	135	0
DISEASE	familial lipoprotein lipase deficiency	1	modified_disease	25	0
DISEASE	familial male-limited precocious puberty	0	MONDO	35	0
DISEASE	familial mediterranean fever	1	modified_disease	41	0
DISEASE	familial meningioma	0	MONDO	11	0
DISEASE	familial or sporadic hemiplegic migraine	1	modified_disease	53	0
DISEASE	familial pancreatic carcinoma	1	MedGen	52	0
DISEASE	familial partial lipodystrophy, dunnigan type	1	MedGen	302	0
DISEASE	familial pityriasis rubra pilaris	0	MONDO	42	0
DISEASE	familial porphyria cutanea tarda	0	MONDO	31	0
DISEASE	familial renal glucosuria	1	MedGen	48	0
DISEASE	familial spontaneous pneumothorax	0	MONDO	87	0
DISEASE	familial steroid-resistant nephrotic syndrome with sensorineural deafness	1	MONDO	18	0
DISEASE	familial visceral amyloidosis	1	MONDO	14	0
DISEASE	fanconi anemia complementation group a	1	MedGen	135	0
DISEASE	fanconi renotubular syndrome 1	1	MedGen	164	0
DISEASE	fanconi renotubular syndrome 2	0	MONDO	17	0
DISEASE	fanconi renotubular syndrome 3	0	MONDO	17	0
DISEASE	farber lipogranulomatosis	0	MONDO	43	0
DISEASE	fascioliasis	1	standard	16	0
DISEASE	fatal familial insomnia	0	MONDO	30	0
DISEASE	fatty liver disease	0	standard	19	0
DISEASE	febrile neutropenia	1	standard	11	0
DISEASE	febrile seizures	0	standard	115	0
DISEASE	febrile seizures, familial, 8	0	MONDO	50	0
DISEASE	felty syndrome	0	MONDO	28	0
DISEASE	female breast cancer	1	standard	19	0
DISEASE	female breast carcinoma	1	standard	19	0
DISEASE	female hypogonadism	0	standard	10	0
DISEASE	female infertility	1	standard	10	0
DISEASE	female pelvic infections	0	corrected_overlay	13	0
DISEASE	female pelvis infections	0	corrected_overlay	13	0
DISEASE	female sexual dysfunction	0	standard	23	0
DISEASE	female stress incontinence	1	standard	37	0
DISEASE	fetal cytomegalovirus syndrome	1	modified_disease	27	0
DISEASE	fetal growth restriction	1	modified_disease	15	0
DISEASE	fever	1	standard	14	0
DISEASE	fibrocystic breast disease	1	standard	46	0
DISEASE	fibrocystic disease of pancreas	0	standard	67	0
DISEASE	fibrodysplasia ossificans progressiva	1	standard	12	0
DISEASE	fibromatosis	1	standard	10	0
DISEASE	fibromyalgia	1	standard	93	0
DISEASE	filippi syndrome	0	MONDO	59	0
DISEASE	fine wrinkles on face	0	corrected_overlay	12	0
DISEASE	fissured tongue	0	Disease Ontology	6	0
DISEASE	fluorouracil overdose	1	standard	70	0
DISEASE	flushing of ears and somnolence	0	corrected_overlay	23	0
DISEASE	focal eeg discharges with secondary generalization	0	standard	18	0
DISEASE	focal epilepsy	1	standard	93	0
DISEASE	focal segmental glomerulosclerosis	1	standard	52	0
DISEASE	focal segmental glomerulosclerosis 1	1	MedGen	461	0
DISEASE	focal segmental glomerulosclerosis 2	0	MONDO	18	0
DISEASE	focal segmental glomerulosclerosis 3, susceptibility to	0	MONDO	18	0
DISEASE	focal segmental glomerulosclerosis 5	0	MONDO	18	0
DISEASE	focal segmental glomerulosclerosis 6	0	MONDO	18	0
DISEASE	folic acid deficiency	0	standard	98	0
DISEASE	folic acid deficiency anemia	0	standard	31	0
DISEASE	folic acid overdose	0	corrected_overlay	11	0
DISEASE	follicular b-cell non-hodgkin lymphoma (fl)	0	alias_disease	16	0
DISEASE	follicular cd20-positive b-cell non-hodgkin's lymphoma (nhl)	1	modified_disease	15	0
DISEASE	follicular lymphoma	1	standard	41	0
DISEASE	follicular lymphoma refractory	0	corrected_overlay	19	0
DISEASE	follicular thyroid carcinoma	1	standard	21	0
DISEASE	folliculitis	1	standard	6	0
DISEASE	food allergy	1	standard	14	0
DISEASE	food-induced anaphylaxis	0	standard	19	0
DISEASE	formiminoglutamic aciduria	0	MONDO	52	0
DISEASE	foxg1 disorder	0	MONDO	81	0
DISEASE	fractured tibia	0	corrected_overlay	11	0
DISEASE	fractured vertebra	1	standard	58	0
DISEASE	fragile x syndrome	0	MONDO	42	0
DISEASE	fragile x-associated tremor/ataxia syndrome	0	MONDO	19	0
DISEASE	frank-ter haar syndrome	0	MONDO	25	0
DISEASE	fraxe intellectual disability	1	MedGen	76	0
DISEASE	freckles	0	standard	11	0
DISEASE	fredrickson type i lipidaemia	0	corrected_overlay	16	0
DISEASE	fredrickson type iii lipidaemia	0	corrected_overlay	8	0
DISEASE	freeman-sheldon syndrome	0	MONDO	34	0
DISEASE	friedreich ataxia	1	standard	134	0
DISEASE	friedreich ataxia 1	0	MONDO	17	0
DISEASE	frontal balding	0	standard	10	0
DISEASE	frontotemporal dementia and/or amyotrophic lateral sclerosis 1	0	MONDO	21	0
DISEASE	frontotemporal dementia and/or amyotrophic lateral sclerosis 6	0	MONDO	18	0
DISEASE	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	0	MONDO	18	0
DISEASE	frostbite	1	standard	10	0
DISEASE	fucosidosis	0	MONDO	37	0
DISEASE	fuhrmann syndrome	0	MONDO	21	0
DISEASE	full thickness burn	1	standard	22	0
DISEASE	fumaric aciduria	0	MONDO	45	0
DISEASE	functional asplenia	1	standard	26	0
DISEASE	functional constipation	1	standard	9	0
DISEASE	functional diarrhea	1	standard	14	0
DISEASE	functional gastric disease	1	standard	22	0
DISEASE	functional hemorrhages and menorrhagia of fibroids	1	standard	12	0
DISEASE	fungal blepharitis	0	corrected_overlay	22	0
DISEASE	fungal endophthalmitis	0	standard	14	0
DISEASE	fungal infection of eye	0	standard	50	0
DISEASE	fungal infections	0	standard	4	0
DISEASE	fungal keratitis	0	standard	4	0
DISEASE	fungal meningitis	1	standard	16	0
DISEASE	fungal skin infections	1	standard	50	0
DISEASE	fungemia	1	standard	34	0
DISEASE	furuncle	0	corrected_overlay	19	0
DISEASE	furunculosis	1	standard	33	0
DISEASE	fusariosis	1	standard	42	0
DISEASE	fusarium infections	0	standard	42	0
DISEASE	fusarium solani keratitis	1	standard	11	0
DISEASE	fusospirochetosis	0	corrected_overlay	25	0
DISEASE	galactokinase deficiency	0	MONDO	36	0
DISEASE	galactorrhea	1	standard	32	0
DISEASE	galactosialidosis	0	MONDO	37	0
DISEASE	gallbladder disease 1	0	MONDO	24	0
DISEASE	gallbladder disorder	1	standard	6	0
DISEASE	gallstones	1	standard	30	0
DISEASE	gamma-glutamyl transpeptidase deficiency	0	MONDO	14	0
DISEASE	gamma-glutamylcysteine synthetase deficiency	0	MONDO	22	0
DISEASE	gamstorp-wohlfart syndrome	1	MedGen	82	0
DISEASE	ganglion or cyst of synovium/tendon/bursa	1	modified_disease	30	0
DISEASE	gardnerella vaginitis	0	corrected_overlay	20	0
DISEASE	gas gangrene	1	standard	54	0
DISEASE	gastric adenocarcinoma	1	standard	11	0
DISEASE	gastric cancer	1	standard	6	0
DISEASE	gastric mucosa-associated lymphoid tissue lymphoma	1	standard	50	0
DISEASE	gastric ulcer	1	standard	26	0
DISEASE	gastrinoma	1	standard	72	0
DISEASE	gastritis	1	standard	14	0
DISEASE	gastroenteritis	1	standard	25	0
DISEASE	gastroesophageal cancer	1	standard	15	0
DISEASE	gastroesophageal junction adenocarcinoma	1	standard	12	0
DISEASE	gastroesophageal junction cancer	1	standard	15	0
DISEASE	gastroesophageal reflux	1	standard	27	0
DISEASE	gastroesophageal reflux disease	1	standard	27	0
DISEASE	gastrointestinal bleeding	0	standard	35	0
DISEASE	gastrointestinal candidiasis	0	corrected_overlay	24	0
DISEASE	gastrointestinal hemorrhage	1	standard	12	0
DISEASE	gastrointestinal infections	0	corrected_overlay	9	0
DISEASE	gastrointestinal smooth muscle spasms	0	corrected_overlay	15	0
DISEASE	gastrointestinal stromal tumor	1	standard	22	0
DISEASE	gastrointestinal toxicity	0	standard	8	0
DISEASE	gastroparesis	1	standard	28	0
DISEASE	gastroparesis due to diabetes mellitus	1	modified_disease	28	0
DISEASE	gaucher disease	1	standard	61	0
DISEASE	gaucher disease perinatal lethal	1	MedGen	192	0
DISEASE	gaucher disease type i	0	standard	20	0
DISEASE	gaucher disease type ii	1	MedGen	192	0
DISEASE	gaucher disease type iii	1	MedGen	192	0
DISEASE	gaucher's disease type 1	1	modified_disease	34	0
DISEASE	gaucher's disease type 3	1	modified_disease	34	0
DISEASE	generalized anxiety disorder	1	standard	22	0
DISEASE	generalized edema	1	standard	16	0
DISEASE	generalized epilepsy	1	standard	46	0
DISEASE	generalized epilepsy-paroxysmal dyskinesia syndrome	0	MONDO	64	0
DISEASE	generalized myasthenia gravis	0	standard	75	0
DISEASE	generalized non-psychotic anxiety	1	standard	38	0
DISEASE	generalized pustular psoriasis	1	standard	94	0
DISEASE	generalized pustular psoriasis (gpp) flares	1	standard	94	0
DISEASE	generalized-onset seizure	0	corrected_overlay	18	0
DISEASE	genital herpes	1	standard	16	0
DISEASE	genital herpes simplex	1	standard	16	0
DISEASE	genital prolapse	0	standard	49	0
DISEASE	genital warts	1	standard	13	0
DISEASE	genitopatellar syndrome	0	MONDO	49	0
DISEASE	genitourinary tract infections and inflammations nec	1	standard	9	0
DISEASE	genotype 1 chronic hepatitis c virus (hcv) infection	1	modified_disease	22	0
DISEASE	genotype 4 chronic hepatitis c virus (hcv) infection without cirrhosis	1	modified_disease	22	0
DISEASE	geographic atrophy	0	standard	46	0
DISEASE	germ cell testicular cancer	1	standard	42	0
DISEASE	germ cell tumor	1	standard	38	0
