entity_type	entity	needs_review	description_source	description_words	empty_description
DISEASE	acute intestinal amebiasis	1	modified_disease	16	0
DISEASE	acute iron intoxication	0	corrected_overlay	18	0
DISEASE	acute ischemic stroke	1	curated_standard_definition	28	0
DISEASE	acute ischemic stroke (ais)	1	modified_disease	27	0
DISEASE	acute kidney failure	1	modified_disease	12	0
DISEASE	acute labyrinthitis	1	modified_disease	18	0
DISEASE	acute laryngopharyngitis	1	modified_disease	19	0
DISEASE	acute left ventricular failure	1	modified_disease	29	0
DISEASE	acute leukemia	1	modified_disease	23	0
DISEASE	acute liver failure	1	modified_disease	29	0
DISEASE	acute lung injury	1	modified_disease	32	0
DISEASE	acute lymphoblastic leukemia	1	modified_disease	27	0
DISEASE	acute lymphocytic leukemia (all)	1	modified_disease	32	0
DISEASE	acute mania	0	corrected_overlay	16	0
DISEASE	acute manic or mixed episodes associated with bipolar i disorder	1	modified_disease	28	0
DISEASE	acute massive pulmonary embolism	1	modified_disease	29	0
DISEASE	acute maxillary sinusitis	1	modified_disease	12	0
DISEASE	acute migraine	1	modified_disease	26	0
DISEASE	acute monocytic leukemia	1	modified_disease	29	0
DISEASE	acute myeloblastic leukemia without maturation	1	modified_disease	25	0
DISEASE	acute myeloid leukemia	1	modified_disease	19	0
DISEASE	acute myeloid leukemia (aml)	1	modified_disease	20	0
DISEASE	acute myeloid leukemia with multilineage dysplasia	1	modified_disease	24	0
DISEASE	acute myelomonocytic leukemia m4	1	modified_disease	21	0
DISEASE	acute myocardial infarction	1	modified_disease	23	0
DISEASE	acute necrotizing ulcerative gingivitis	1	modified_disease	36	0
DISEASE	acute non-lymphocytic leukemia	1	modified_disease	19	0
DISEASE	acute otitis externa	1	modified_disease	12	0
DISEASE	acute otitis media	1	modified_disease	21	0
DISEASE	acute pain	1	modified_disease	23	0
DISEASE	acute pelvic inflammatory disease	1	modified_disease	22	0
DISEASE	acute pharyngitis	1	modified_disease	16	0
DISEASE	acute porphyria	1	modified_disease	32	0
DISEASE	acute proliferative glomerulonephritis	1	modified_disease	24	0
DISEASE	acute promyelocytic leukemia	1	modified_disease	16	0
DISEASE	acute prostatitis	1	modified_disease	15	0
DISEASE	acute psychosis	0	modified_disease	36	0
DISEASE	acute pulmonary blastomycosis	1	modified_disease	37	0
DISEASE	acute pulmonary edema	1	modified_disease	26	0
DISEASE	acute pulmonary emboli	0	modified_disease	28	0
DISEASE	acute pulmonary embolism	1	modified_disease	14	0
DISEASE	acute pulmonary thromboembolism	1	modified_disease	28	0
DISEASE	acute pyelonephritis	1	modified_disease	9	0
DISEASE	acute quadriplegic myopathy	1	modified_disease	19	0
DISEASE	acute radiation syndrome	1	modified_disease	25	0
DISEASE	acute rejection	1	modified_disease	21	0
DISEASE	acute renal failure	1	modified_disease	12	0
DISEASE	acute respiratory distress syndrome	1	modified_disease	34	0
DISEASE	acute respiratory distress syndrome (ards)	1	modified_disease	35	0
DISEASE	acute respiratory insufficiency	1	modified_disease	25	0
DISEASE	acute retention of urine	1	modified_disease	24	0
DISEASE	acute rheumatic carditis	1	modified_disease	16	0
DISEASE	acute sinusitis	1	modified_disease	15	0
DISEASE	acute subendocardial myocardial infarction	1	modified_disease	14	0
DISEASE	acute thrombi obstructing coronary arteries	0	modified_disease	38	0
DISEASE	acute tibia fractures	1	modified_disease	23	0
DISEASE	acute tricyclic antidepressant poisoning	1	modified_disease	35	0
DISEASE	acute urate nephropathy	1	modified_disease	18	0
DISEASE	acute urticaria	1	modified_disease	11	0
DISEASE	acute, uncomplicated ano-rectal infections in women	0	manual_modified_disease	37	0
DISEASE	acutely decompensated heart failure	1	standard	57	0
DISEASE	acys amyloidosis	0	MONDO	29	0
DISEASE	adamantinous craniopharyngioma	1	standard	86	0
DISEASE	adams-stokes syndrome	1	standard	48	0
DISEASE	adan amyloidosis	0	MONDO	26	0
DISEASE	addiction	0	standard	7	0
DISEASE	addison disease	1	standard	47	0
DISEASE	adenocarcinoma	1	standard	8	0
DISEASE	adenomyosis	1	standard	34	0
DISEASE	adenosine deaminase deficiency	1	standard	23	0
DISEASE	adenosine deaminase severe combined immune deficiency (ada-scid)	1	modified_disease	30	0
DISEASE	adenoviridae infectious disease	0	standard	28	0
DISEASE	adhd in children	0	corrected_overlay	10	0
DISEASE	adhf	0	corrected_overlay	22	0
DISEASE	adiponectin deficiency	0	EFO	11	0
DISEASE	adjustment disorder	1	standard	46	0
DISEASE	adnexitis	1	standard	64	0
DISEASE	adrenal adenoma	1	standard	40	0
DISEASE	adrenal cortex carcinoma	1	standard	7	0
DISEASE	adrenal crisis	1	standard	37	0
DISEASE	adrenal gland disorder	1	standard	6	0
DISEASE	adrenal gland hyperfunction	1	standard	21	0
DISEASE	adrenal hyperplasia	1	standard	40	0
DISEASE	adrenal hyperplasia, congenital	1	modified_disease	63	0
DISEASE	adrenal insufficiency	1	standard	32	0
DISEASE	adrenocortical carcinoma	1	standard	45	0
DISEASE	adrenocortical carcinoma, hereditary	1	modified_disease	41	0
DISEASE	adrenocortical hyperfunction	0	standard	21	0
DISEASE	adrenocortical hypofunction, chronic primary congenital	1	MONDO	16	0
DISEASE	adrenocortical insufficiency	1	standard	56	0
DISEASE	adult brainstem glioma	1	standard	9	0
DISEASE	adult growth hormone deficiency	1	standard	45	0
DISEASE	adult hypophosphatasia	0	MONDO	20	0
DISEASE	adult refsum disease	1	MedGen	78	0
DISEASE	adult syndrome	0	MONDO	34	0
DISEASE	adult t-cell lymphoma/leukemia recurrent	1	modified_disease	30	0
DISEASE	adult-onset growth hormone deficiency (ao-ghd)	1	modified_disease	13	0
DISEASE	adult-onset still disease	1	modified_disease	12	0
DISEASE	advanced bladder cancer	1	modified_disease	16	0
DISEASE	advanced breast cancer	1	modified_disease	14	0
DISEASE	advanced breast cancer in postmenopausal women	1	modified_disease	16	0
DISEASE	advanced gastric adenocarcinoma	1	modified_disease	24	0
DISEASE	advanced gastrointestinal stromal tumor	1	modified_disease	27	0
DISEASE	advanced hepatocellular carcinoma	1	modified_disease	25	0
DISEASE	advanced ovarian carcinoma	1	modified_disease	25	0
DISEASE	advanced prostate cancer	1	modified_disease	17	0
DISEASE	advanced renal cell carcinoma	1	modified_disease	27	0
DISEASE	advanced soft tissue sarcoma	1	modified_disease	28	0
DISEASE	afibrinogenemia	1	standard	9	0
DISEASE	african trypanosomiasis	1	standard	52	0
DISEASE	agammaglobulinemia	1	standard	19	0
DISEASE	agat deficiency	0	MONDO	22	0
DISEASE	age related macular degeneration	1	standard	39	0
DISEASE	age related macular degeneration 1	0	MONDO	16	0
DISEASE	age related macular degeneration 10	1	MONDO	16	0
DISEASE	age related macular degeneration 11	0	MONDO	18	0
DISEASE	age related macular degeneration 12	0	MONDO	18	0
DISEASE	age related macular degeneration 13	0	MONDO	25	0
DISEASE	age related macular degeneration 14	0	MONDO	19	0
DISEASE	age related macular degeneration 15	0	MONDO	25	0
DISEASE	age related macular degeneration 2	1	MedGen	74	0
DISEASE	age related macular degeneration 4	0	MONDO	18	0
