head_name	relation	tail_name
Axin-2	MODIFIED_IN	adenoma
Axin-2	MODIFIED_IN	carcinoma
Axin-2	MODIFIED_IN	colorectal neoplasm
Bcl-2-like protein 10	MODIFIED_IN	gastric cancer
Bcl-2-like protein 10	MODIFIED_IN	acute leukemia
Bcl-2-like protein 12	MODIFIED_IN	colon carcinoma
Bcl-2-like protein 12	MODIFIED_IN	malignant colon neoplasm
Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2	MODIFIED_IN	Barrett esophagus
Neuroblast differentiation-associated protein AHNAK	MODIFIED_IN	liver cancer
Neuroblast differentiation-associated protein AHNAK	MODIFIED_IN	hepatitis B virus infection
Neuroblast differentiation-associated protein AHNAK	MODIFIED_IN	carcinoma of liver and intrahepatic biliary tract
Aryl hydrocarbon receptor repressor	MODIFIED_IN	obesity disorder
Activator of 90 kDa heat shock protein ATPase homolog 1	MODIFIED_IN	neoplasm
Activator of 90 kDa heat shock protein ATPase homolog 1	MODIFIED_IN	B-cell neoplasm
Interferon-inducible protein AIM2	MODIFIED_IN	glioblastoma
Interferon-inducible protein AIM2	MODIFIED_IN	adult glioblastoma
A-kinase anchor protein 12	MODIFIED_IN	squamous cell carcinoma
A-kinase anchor protein 12	MODIFIED_IN	lung carcinoma
A-kinase anchor protein 12	MODIFIED_IN	pancreatic ductal adenocarcinoma
A-kinase anchor protein 12	MODIFIED_IN	esophageal squamous cell carcinoma
A-kinase anchor protein 12	MODIFIED_IN	gastric carcinoma
A-kinase anchor protein 12	MODIFIED_IN	lung cancer
A-kinase anchor protein 12	MODIFIED_IN	benign prostatic hyperplasia
A-kinase anchor protein 12	MODIFIED_IN	glioma
Proline-rich AKT1 substrate 1	MODIFIED_IN	breast carcinoma
Proline-rich AKT1 substrate 1	MODIFIED_IN	retinal disorder
Proline-rich AKT1 substrate 1	MODIFIED_IN	breast cancer
Proline-rich AKT1 substrate 1	MODIFIED_IN	glioblastoma
Proline-rich AKT1 substrate 1	MODIFIED_IN	adult glioblastoma
Proline-rich AKT1 substrate 1	MODIFIED_IN	glioma
Retinaldehyde dehydrogenase 3	MODIFIED_IN	neoplasm
Chitobiosyldiphosphodolichol beta-mannosyltransferase	MODIFIED_IN	colonic neoplasm
Chitobiosyldiphosphodolichol beta-mannosyltransferase	MODIFIED_IN	lymphosarcoma
DNA oxidative demethylase ALKBH2	MODIFIED_IN	breast carcinoma
DNA oxidative demethylase ALKBH2	MODIFIED_IN	breast cancer
ALK and LTK ligand 1	MODIFIED_IN	clear cell renal carcinoma
Homeobox protein aristaless-like 3	MODIFIED_IN	neuroblastoma
Homeobox protein aristaless-like 4	MODIFIED_IN	colon carcinoma
Homeobox protein aristaless-like 4	MODIFIED_IN	adenocarcinoma
Homeobox protein aristaless-like 4	MODIFIED_IN	breast carcinoma
Homeobox protein aristaless-like 4	MODIFIED_IN	colorectal adenoma
Homeobox protein aristaless-like 4	MODIFIED_IN	breast cancer
Homeobox protein aristaless-like 4	MODIFIED_IN	malignant colon neoplasm
Caveolin-2	MODIFIED_IN	colorectal carcinoma
Caveolae-associated protein 3	MODIFIED_IN	gastric cancer
Caveolae-associated protein 3	MODIFIED_IN	gastric carcinoma
Caveolae-associated protein 3	MODIFIED_IN	gastric neoplasm
Caveolae-associated protein 3	MODIFIED_IN	colorectal carcinoma
Carboxypeptidase A6	MODIFIED_IN	focal epilepsy
Beta-1,3-galactosyltransferase 5	MODIFIED_IN	colon carcinoma
