head_name	relation	tail_name
INDOMETHACIN	TREATS	tenosynovitis
INDOMETHACIN	TREATS	tendinitis
INDOMETHACIN	TREATS	rheumatoid arthritis
INDOMETHACIN	TREATS	head and neck squamous cell carcinoma
INDOMETHACIN	TREATS	patent ductus arteriosus
INDOMETHACIN	TREATS	nephrogenic diabetes insipidus
INDOMETHACIN	TREATS	Langerhans cell histiocytosis
INDOMETHACIN	TREATS	breast neoplasm
MAFENIDE	TREATS	osteomyelitis
SULFANILAMIDE	TREATS	bacterial infectious disease
SULFANILAMIDE	TREATS	vulvovaginitis
SECOBARBITAL	TREATS	epilepsy
PENTOBARBITAL	TREATS	epilepsy
PENTOBARBITAL	TREATS	drug dependence
PENTOBARBITAL	TREATS	insomnia
PENTOBARBITAL	TREATS	brain injury
QUINACRINE	TREATS	pneumothorax
QUINACRINE	TREATS	giardiasis
QUINACRINE	TREATS	colorectal adenocarcinoma
QUINACRINE	TREATS	renal cell carcinoma
QUINACRINE	TREATS	non-small cell lung carcinoma
QUINACRINE	TREATS	Creutzfeldt Jacob disease
QUINACRINE	TREATS	amebiasis
AMOBARBITAL	TREATS	epilepsy
AMOBARBITAL	TREATS	osteoarthritis
METHARBITAL	TREATS	epilepsy
CHLORDIAZEPOXIDE	TREATS	alcohol abuse
CHLORDIAZEPOXIDE	TREATS	irritable bowel syndrome
CHLORDIAZEPOXIDE	TREATS	panic disorder
CHLORDIAZEPOXIDE	TREATS	alcohol withdrawal
CHLORDIAZEPOXIDE	TREATS	anxiety disorder
CHLORDIAZEPOXIDE	TREATS	anxiety
MELAGATRAN	TREATS	thrombotic disease
CLONAZEPAM	TREATS	dementia
CLONAZEPAM	TREATS	epilepsy
CLONAZEPAM	TREATS	visual epilepsy
CLONAZEPAM	TREATS	neuralgia
CLONAZEPAM	TREATS	panic disorder
CLONAZEPAM	TREATS	burning mouth syndrome
CLONAZEPAM	TREATS	cannabis dependence
CLONAZEPAM	TREATS	epilepsy with generalized tonic-clonic seizures
CLONAZEPAM	TREATS	REM sleep behavior disorder
CLONAZEPAM	TREATS	anxiety
CLONAZEPAM	TREATS	Lennox-Gastaut syndrome
SULFISOXAZOLE	TREATS	chancroid
SULFISOXAZOLE	TREATS	trachoma
SULFISOXAZOLE	TREATS	bacterial infectious disease
SULFISOXAZOLE	TREATS	osteomyelitis
SULFISOXAZOLE	TREATS	lymphogranuloma venereum
SULFISOXAZOLE	TREATS	nocardiosis
SULFISOXAZOLE	TREATS	meningococcal meningitis
SULFISOXAZOLE	TREATS	eye infectious disorder
GUANABENZ	TREATS	multiple sclerosis
GUANABENZ	TREATS	relapsing-remitting multiple sclerosis
TRIMETHOPRIM	TREATS	chancroid
TRIMETHOPRIM	TREATS	anemia
TRIMETHOPRIM	TREATS	blepharoconjunctivitis
TRIMETHOPRIM	TREATS	T-cell acute lymphoblastic leukemia
TRIMETHOPRIM	TREATS	dermatitis
TRIMETHOPRIM	TREATS	chronic obstructive pulmonary disease
TRIMETHOPRIM	TREATS	leukemia
TRIMETHOPRIM	TREATS	neoplasm
TRIMETHOPRIM	TREATS	pertussis
TRIMETHOPRIM	TREATS	skin disorder
TRIMETHOPRIM	TREATS	HIV infectious disease
TRIMETHOPRIM	TREATS	bacterial infectious disease
TRIMETHOPRIM	TREATS	malaria
TRIMETHOPRIM	TREATS	type 1 diabetes mellitus
TRIMETHOPRIM	TREATS	age-related macular degeneration
TRIMETHOPRIM	TREATS	abscess
TRIMETHOPRIM	TREATS	osteomyelitis
TRIMETHOPRIM	TREATS	pneumonia
TRIMETHOPRIM	TREATS	otitis media
TRIMETHOPRIM	TREATS	epidermolysis bullosa
TRIMETHOPRIM	TREATS	staphylococcus aureus infection
TRIMETHOPRIM	TREATS	measles
TRIMETHOPRIM	TREATS	typhoid fever
TRIMETHOPRIM	TREATS	bacterial conjunctivitis
TRIMETHOPRIM	TREATS	brucellosis
TRIMETHOPRIM	TREATS	granuloma inguinale
TRIMETHOPRIM	TREATS	bacterial pneumonia
TRIMETHOPRIM	TREATS	Listeria meningitis
TRIMETHOPRIM	TREATS	lymphogranuloma venereum
TRIMETHOPRIM	TREATS	ocular toxoplasmosis
TRIMETHOPRIM	TREATS	paracoccidioidomycosis
TRIMETHOPRIM	TREATS	sinusitis
TRIMETHOPRIM	TREATS	pyelonephritis
TRIMETHOPRIM	TREATS	B-cell acute lymphoblastic leukemia
TRIMETHOPRIM	TREATS	cystic fibrosis
TRIMETHOPRIM	TREATS	granulomatosis with polyangiitis
TRIMETHOPRIM	TREATS	anaplastic astrocytoma
TRIMETHOPRIM	TREATS	nocardiosis
TRIMETHOPRIM	TREATS	cholera
TRIMETHOPRIM	TREATS	pneumocystosis
TRIMETHOPRIM	TREATS	tuberculosis
TRIMETHOPRIM	TREATS	glioblastoma
TRIMETHOPRIM	TREATS	shigellosis
TRIMETHOPRIM	TREATS	brain neoplasm
TRIMETHOPRIM	TREATS	paratyphoid fever
TRIMETHOPRIM	TREATS	urinary tract infection
TRIMETHOPRIM	TREATS	idiopathic pulmonary fibrosis
VERAPAMIL	TREATS	respiratory syncytial virus infectious disease
VERAPAMIL	TREATS	atrial fibrillation
VERAPAMIL	TREATS	bipolar disorder
VERAPAMIL	TREATS	cardiovascular disorder
VERAPAMIL	TREATS	Crohn disease
VERAPAMIL	TREATS	severe acute respiratory syndrome
VERAPAMIL	TREATS	type 1 diabetes mellitus
VERAPAMIL	TREATS	type 2 diabetes mellitus
VERAPAMIL	TREATS	heart failure
VERAPAMIL	TREATS	drug dependence
VERAPAMIL	TREATS	osteoarthritis, knee
VERAPAMIL	TREATS	diastolic heart failure
VERAPAMIL	TREATS	Hodgkins lymphoma
VERAPAMIL	TREATS	Prinzmetal angina
SULFASALAZINE	TREATS	paraganglioma
SULFASALAZINE	TREATS	collagenous colitis
SULFASALAZINE	TREATS	Crohn disease
SULFASALAZINE	TREATS	ulcerative colitis
SULFASALAZINE	TREATS	osteomyelitis
SULFASALAZINE	TREATS	ankylosing spondylitis
SULFASALAZINE	TREATS	intestinal obstruction
SULFASALAZINE	TREATS	peripheral nervous system disorder
SULFASALAZINE	TREATS	rheumatoid arthritis
SULFASALAZINE	TREATS	psoriatic arthritis
SULFASALAZINE	TREATS	juvenile idiopathic arthritis
SULFASALAZINE	TREATS	acute myeloid leukemia
SULFASALAZINE	TREATS	pulmonary arterial hypertension
SULFASALAZINE	TREATS	glioblastoma
SULFASALAZINE	TREATS	sclerosing cholangitis
SULFAMETHOXYPYRIDAZINE	TREATS	bacterial infectious disease
BUTALBITAL	TREATS	migraine disorder
SULFACETAMIDE	TREATS	blepharoconjunctivitis
SULFACETAMIDE	TREATS	trachoma
SULFACETAMIDE	TREATS	osteomyelitis
SULFACETAMIDE	TREATS	rosacea
SULFACETAMIDE	TREATS	seborrheic dermatitis
SULFACETAMIDE	TREATS	bacterial conjunctivitis
SULFACETAMIDE	TREATS	iridocyclitis
SULFACETAMIDE	TREATS	conjunctivitis
SULFACETAMIDE	TREATS	vulvovaginitis
SULFACETAMIDE	TREATS	acne
SULFACETAMIDE	TREATS	uveitis
SULFACETAMIDE	TREATS	eye infectious disorder
AMSACRINE	TREATS	leukemia
AMSACRINE	TREATS	neoplasm
AMSACRINE	TREATS	acute myeloid leukemia
AMSACRINE	TREATS	myelodysplastic syndrome
ETHACRYNIC ACID	TREATS	hypercalcemia disease
ETHACRYNIC ACID	TREATS	urinary system disorder
ETHACRYNIC ACID	TREATS	cardiovascular disorder
ETHACRYNIC ACID	TREATS	congestive heart failure
ETHACRYNIC ACID	TREATS	glaucoma
ETHACRYNIC ACID	TREATS	cirrhosis of liver
ETHACRYNIC ACID	TREATS	nephrotic syndrome
ETHACRYNIC ACID	TREATS	pulmonary edema
GENISTEIN	TREATS	pulmonary fibrosis
GENISTEIN	TREATS	coronary artery disorder
GENISTEIN	TREATS	neoplasm
GENISTEIN	TREATS	prostate adenocarcinoma
GENISTEIN	TREATS	severe acute respiratory syndrome
GENISTEIN	TREATS	exocrine pancreatic carcinoma
GENISTEIN	TREATS	non-small cell lung carcinoma
GENISTEIN	TREATS	osteoporosis
GENISTEIN	TREATS	colorectal neoplasm
GENISTEIN	TREATS	colonic neoplasm
