head_name	relation	tail_name
Dabrafenib	METABOLIZED_BY	Cytochrome P450 2C8
Dabrafenib	METABOLIZED_BY	Cytochrome P450 3A4
Corticorelin	METABOLIZED_BY	Dopamine beta-hydroxylase
Albinterferon Alfa-2B	METABOLIZED_BY	Cytochrome P450 1A2
Butyrylthiocholine	METABOLIZED_BY	Cholinesterase
Tretazicar	METABOLIZED_BY	NAD(P)H dehydrogenase [quinone] 1
1-Beta-Ribofuranosyl-1,3-Diazepinone	METABOLIZED_BY	Cytidine deaminase
Insulin lispro	METABOLIZED_BY	Cytochrome P450 1A2
Insulin lispro	METABOLIZED_BY	Insulin-degrading enzyme
Somatotropin	METABOLIZED_BY	Cytochrome P450 1A2
Somatotropin	METABOLIZED_BY	Cytochrome P450 2C19
Interferon beta-1a	METABOLIZED_BY	Cytochrome P450 1A2
Interferon beta-1b	METABOLIZED_BY	Cytochrome P450 1A2
Interferon alfacon-1	METABOLIZED_BY	Cytochrome P450 1A2
Insulin pork	METABOLIZED_BY	Cytochrome P450 1A2
Insulin pork	METABOLIZED_BY	Insulin-degrading enzyme
Pegvisomant	METABOLIZED_BY	Sterol 26-hydroxylase, mitochondrial
Pegvisomant	METABOLIZED_BY	Cytochrome P450 3A4
Pegvisomant	METABOLIZED_BY	Cytochrome P450 4A11
Pegvisomant	METABOLIZED_BY	Cholinesterase
Pegvisomant	METABOLIZED_BY	Glutamine synthetase
Cyclosporine	METABOLIZED_BY	Cytochrome P450 3A4
Cyclosporine	METABOLIZED_BY	Cytochrome P450 3A5
Cyclosporine	METABOLIZED_BY	Cytochrome P450 3A7
Filgrastim	METABOLIZED_BY	Neutrophil elastase
Octreotide	METABOLIZED_BY	Cytochrome P450 3A4
Octreotide	METABOLIZED_BY	Myeloperoxidase
Interferon alfa-2b	METABOLIZED_BY	Cytochrome P450 1A2
Oxytocin	METABOLIZED_BY	Leucyl-cystinyl aminopeptidase
Oxytocin	METABOLIZED_BY	Prolyl endopeptidase
