head_name	relation	tail_name
Icosapent	CARRIED_BY	Albumin
Vitamin A	CARRIED_BY	Albumin
Vitamin A	CARRIED_BY	Retinol-binding protein 1
Vitamin A	CARRIED_BY	Retinol-binding protein 2
Vitamin A	CARRIED_BY	Retinol-binding protein 3
Vitamin A	CARRIED_BY	Retinol-binding protein 4
Vitamin A	CARRIED_BY	Retinol-binding protein 5
Vitamin A	CARRIED_BY	Retinoid-binding protein 7
Vitamin A	CARRIED_BY	Retinaldehyde-binding protein 1
Vitamin E	CARRIED_BY	Phospholipid transfer protein
Vitamin E	CARRIED_BY	SEC14-like protein 2
Vitamin E	CARRIED_BY	SEC14-like protein 3
Vitamin E	CARRIED_BY	Alpha-tocopherol transfer protein
Pyridoxine	CARRIED_BY	Albumin
Cholecalciferol	CARRIED_BY	Vitamin D-binding protein
Flunisolide	CARRIED_BY	Corticosteroid-binding globulin
Hydroxocobalamin	CARRIED_BY	Transcobalamin-2
Torasemide	CARRIED_BY	Albumin
Nelfinavir	CARRIED_BY	Alpha-1-acid glycoprotein 1
Nelfinavir	CARRIED_BY	Albumin
Lovastatin	CARRIED_BY	Albumin
Enflurane	CARRIED_BY	Albumin
Butabarbital	CARRIED_BY	Albumin
Nevirapine	CARRIED_BY	Albumin
Alclometasone	CARRIED_BY	Corticosteroid-binding globulin
3-sulfino-L-alanine	CARRIED_BY	Fatty acid-binding protein, adipocyte
O-Trifluoromethylphenyl Anthranilic Acid	CARRIED_BY	Transthyretin
Ranolazine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Benzatropine	CARRIED_BY	Albumin
Ziprasidone	CARRIED_BY	Alpha-1-acid glycoprotein 1
Ziprasidone	CARRIED_BY	Albumin
Phenytoin	CARRIED_BY	Albumin
Phenytoin	CARRIED_BY	Thyroxine-binding globulin
Medrysone	CARRIED_BY	Corticosteroid-binding globulin
Doxycycline	CARRIED_BY	Albumin
Diethylstilbestrol	CARRIED_BY	Transthyretin
Metoprolol	CARRIED_BY	Albumin
Dicoumarol	CARRIED_BY	Albumin
Topiramate	CARRIED_BY	Albumin
Cefmetazole	CARRIED_BY	Albumin
Argatroban	CARRIED_BY	Alpha-1-acid glycoprotein 1
Argatroban	CARRIED_BY	Alpha-1-acid glycoprotein 2
Argatroban	CARRIED_BY	Albumin
Liothyronine	CARRIED_BY	Albumin
Liothyronine	CARRIED_BY	Thyroxine-binding globulin
Liothyronine	CARRIED_BY	Transthyretin
Disopyramide	CARRIED_BY	Alpha-1-acid glycoprotein 1
Conjugated estrogens	CARRIED_BY	Albumin
Conjugated estrogens	CARRIED_BY	Thyroxine-binding globulin
Conjugated estrogens	CARRIED_BY	Sex hormone-binding globulin
Atomoxetine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Atomoxetine	CARRIED_BY	Alpha-1-acid glycoprotein 2
Atomoxetine	CARRIED_BY	Albumin
Atomoxetine	CARRIED_BY	High affinity immunoglobulin gamma Fc receptor I
Etomidate	CARRIED_BY	Solute carrier family 2, facilitated glucose transporter member 1
Etonogestrel	CARRIED_BY	Albumin
Etonogestrel	CARRIED_BY	Sex hormone-binding globulin
Morphine	CARRIED_BY	Albumin
Ropivacaine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Ertapenem	CARRIED_BY	Albumin
Desogestrel	CARRIED_BY	Albumin
Desogestrel	CARRIED_BY	Sex hormone-binding globulin
Chlorthalidone	CARRIED_BY	Albumin
Valproic acid	CARRIED_BY	Albumin
Acetaminophen	CARRIED_BY	Albumin
Gefitinib	CARRIED_BY	Alpha-1-acid glycoprotein 1
Gefitinib	CARRIED_BY	Albumin
Amitriptyline	CARRIED_BY	Alpha-1-acid glycoprotein 1
Amitriptyline	CARRIED_BY	Albumin
Floxuridine	CARRIED_BY	Thyroxine-binding globulin
Fluorometholone	CARRIED_BY	Corticosteroid-binding globulin
Hydromorphone	CARRIED_BY	Albumin
Indomethacin	CARRIED_BY	Albumin
Ipratropium	CARRIED_BY	Alpha-1-acid glycoprotein 1
Ipratropium	CARRIED_BY	Alpha-1-acid glycoprotein 2
Ipratropium	CARRIED_BY	Albumin
Methadone	CARRIED_BY	Alpha-1-acid glycoprotein 1
Methadone	CARRIED_BY	Albumin
Olanzapine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Olanzapine	CARRIED_BY	Albumin
Atenolol	CARRIED_BY	Albumin
Terfenadine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Terfenadine	CARRIED_BY	Alpha-1-acid glycoprotein 2
Terfenadine	CARRIED_BY	Albumin
Diltiazem	CARRIED_BY	Alpha-1-acid glycoprotein 1
Diltiazem	CARRIED_BY	Albumin
Alfuzosin	CARRIED_BY	Alpha-1-acid glycoprotein 1
Alfuzosin	CARRIED_BY	Albumin
Clobazam	CARRIED_BY	Alpha-1-acid glycoprotein 1
Clobazam	CARRIED_BY	Albumin
Clozapine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Clozapine	CARRIED_BY	Albumin
Doxylamine	CARRIED_BY	Albumin
Desipramine	CARRIED_BY	Alpha-1-acid glycoprotein 1
Bupropion	CARRIED_BY	Alpha-1-acid glycoprotein 1
Halothane	CARRIED_BY	Albumin
Itraconazole	CARRIED_BY	Albumin
Arsenic trioxide	CARRIED_BY	Albumin
Orphenadrine	CARRIED_BY	Albumin
Cyclizine	CARRIED_BY	Albumin
Naloxone	CARRIED_BY	Albumin
Fluoxymesterone	CARRIED_BY	Sex hormone-binding globulin
Desflurane	CARRIED_BY	Albumin
Clindamycin	CARRIED_BY	Alpha-1-acid glycoprotein 1
Flecainide	CARRIED_BY	Alpha-1-acid glycoprotein 1
Flecainide	CARRIED_BY	Alpha-1-acid glycoprotein 2
Flecainide	CARRIED_BY	Albumin
Captopril	CARRIED_BY	Albumin
Nadolol	CARRIED_BY	Alpha-1-acid glycoprotein 1
Nadolol	CARRIED_BY	Alpha-1-acid glycoprotein 2
Ceftriaxone	CARRIED_BY	Albumin
Dantrolene	CARRIED_BY	Thyroxine-binding globulin
Budesonide	CARRIED_BY	Albumin
Budesonide	CARRIED_BY	Corticosteroid-binding globulin
Saquinavir	CARRIED_BY	Alpha-1-acid glycoprotein 1
Saquinavir	CARRIED_BY	Albumin
Metoclopramide	CARRIED_BY	Alpha-1-acid glycoprotein 1
Dexamethasone	CARRIED_BY	Albumin
Levodopa	CARRIED_BY	Albumin
Sevoflurane	CARRIED_BY	Albumin
Aripiprazole	CARRIED_BY	Albumin
Gemfibrozil	CARRIED_BY	Albumin
Clomipramine	CARRIED_BY	Albumin
Darunavir	CARRIED_BY	Alpha-1-acid glycoprotein 1
Darunavir	CARRIED_BY	Albumin
Hydralazine	CARRIED_BY	Albumin
Exenatide	CARRIED_BY	Albumin
S-Methylcysteine	CARRIED_BY	Fatty acid-binding protein, liver
Flufenamic acid	CARRIED_BY	Transthyretin
Trihexyphenidyl	CARRIED_BY	Albumin
Sulpiride	CARRIED_BY	Albumin
Beclomethasone dipropionate	CARRIED_BY	Corticosteroid-binding globulin
Alprazolam	CARRIED_BY	Alpha-1-acid glycoprotein 1
Alprazolam	CARRIED_BY	Alpha-1-acid glycoprotein 2
Alprazolam	CARRIED_BY	Albumin
