row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
47	8684	DRUG	8-azaguanine	8-azaguanine	8-azaguanine	PubChem	46
48	12	DRUG	8-chlorotheophylline	8-chlorotheophylline	8-Chlorotheophylline	standard	42
49	8306	DRUG	9CUAB30	9cuab30	UAB-30	ChEMBL	19
50	13	DRUG	[2-[(8s,9r,10s,11s,13s,14s,16r,17r)-17-(cyclopropanecarbonyloxy)-9-luoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] cyclohexanecarboxylate	[2-[(8s,9r,10s,11s,13s,14s,16r,17r)-17-(cyclopropanecarbonyloxy)-9-luoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] cyclohexanecarboxylate	Dexamethasone Cipecilate	standard	6
51	14	DRUG	abacavir	abacavir	Abacavir	standard	66
52	6450	DRUG	abacavir / dolutegravir / lamivudine oral product	abacavir / dolutegravir / lamivudine oral product	Abacavir; Dolutegravir; Lamivudine	modified_drug	76
53	6451	DRUG	abacavir 600 mg / lamivudine 300 mg oral tablet	abacavir 600 mg / lamivudine 300 mg oral tablet	Abacavir; Lamivudine	modified_drug	56
54	15	DRUG	abaloparatide	abaloparatide	Abaloparatide	NCI Thesaurus	94
55	16	DRUG	abametapir	abametapir	5,5'-Dimethyl-2,2'-bipyridyl	standard	6
56	17	DRUG	abarelix	abarelix	Abarelix	standard	30
57	18	DRUG	abatacept	abatacept	Abatacept	standard	65
58	19	DRUG	abciximab	abciximab	Abciximab	standard	51
59	20	DRUG	abemaciclib	abemaciclib	Abemaciclib	standard	21
60	21	DRUG	abiraterone	abiraterone	Abiraterone	standard	63
61	6452	DRUG	abiraterone / niraparib oral tablet	abiraterone / niraparib oral tablet	Abiraterone; Niraparib	modified_drug	37
62	22	DRUG	abiraterone acetate	abiraterone acetate	Abiraterone Acetate	standard	74
63	6370	DRUG	abp-980	abp-980	trastuzumab	alias_drug	6
64	23	DRUG	abrocitinib	abrocitinib	Abrocitinib	DailyMed	120
65	8152	DRUG	ABT-510	abt-510	ABT-510	ChEMBL	18
66	8131	DRUG	Acadesine	acadesine	Acadesine	NCI Thesaurus	121
67	24	DRUG	acalabrutinib	acalabrutinib	Acalabrutinib	standard	106
68	25	DRUG	acamprosate	acamprosate	Acamprosate	standard	41
69	26	DRUG	acarbose	acarbose	Acarbose	ChEBI	19
70	27	DRUG	accuretic	accuretic	quinapril; hydrochlorothiazide	corrected_overlay	12
71	6371	DRUG	ace-011	ace-011	WINREVAIR (SOTATERCEPT-CSRK) KIT [MERCK SHARP & DOHME LLC]	alias_drug	180
72	28	DRUG	acebutolol	acebutolol	Acebutolol	standard	64
73	29	DRUG	aceclidine	aceclidine	Aceclidine	standard	9
74	30	DRUG	aceclofenac	aceclofenac	Aceclofenac	standard	76
75	6453	DRUG	acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / haemophilus influenzae b (ross strain) capsular polysaccharide meningococcal protein conjugate vaccine / hepatitis b surface antigen vaccine / poliovirus vaccine inactivated, type 1 (mahoney) / poliovirus vaccine inactivated, type 2 (mef-1) / poliovirus vaccine inactivated, type 3 (saukett) / tetanus toxoid vaccine, inactivated injectable product	acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / haemophilus influenzae b (ross strain) capsular polysaccharide meningococcal protein conjugate vaccine / hepatitis b surface antigen vaccine / poliovirus vaccine inactivated, type 1 (mahoney) / poliovirus vaccine inactivated, type 2 (mef-1) / poliovirus vaccine inactivated, type 3 (saukett) / tetanus toxoid vaccine, inactivated injectable product	acellular pertussis vaccine; diphtheria toxoid vaccine; Haemophilus influenzae type b capsular polysaccharide conjugate vaccine; hepatitis B surface antigen vaccine; inactivated poliovirus vaccine type 1 (Mahoney); inactivated poliovirus vaccine type 2 (MEF-1); inactivated poliovirus vaccine type 3 (Saukett); tetanus toxoid vaccine	corrected_overlay	31
76	6454	DRUG	acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (mahoney) / poliovirus vaccine inactivated, type 2 (mef-1) / poliovirus vaccine inactivated, type 3 (saukett) / tetanus toxoid vaccine, inactivated injectable product	acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (mahoney) / poliovirus vaccine inactivated, type 2 (mef-1) / poliovirus vaccine inactivated, type 3 (saukett) / tetanus toxoid vaccine, inactivated injectable product	PERTUSSIS VACCINE; DIPHTHERIA TOXOID; POLIOVIRUS VACCINE INACTIVATED; POLIOVIRUS VACCINE INACTIVATED; POLIOVIRUS VACCINE INACTIVATED; TETANUS ANTITOXIN	DailyMed	363
77	31	DRUG	acemetacin	acemetacin	Acemetacin	standard	97
78	32	DRUG	aceneuramic acid	aceneuramic acid	Aceneuramic Acid	standard	58
79	33	DRUG	acenocoumarol	acenocoumarol	Acenocoumarol	standard	50
80	34	DRUG	acepromazine	acepromazine	Acepromazine	standard	53
81	35	DRUG	acetaminophen	acetaminophen	Acetaminophen	standard	93
82	6455	DRUG	acetaminophen / butalbital / caffeine / codeine pill	acetaminophen / butalbital / caffeine / codeine pill	Acetaminophen; Butalbital; Caffeine; Codeine	modified_drug	107
83	6456	DRUG	acetaminophen / codeine oral capsule	acetaminophen / codeine oral capsule	Acetaminophen; Codeine	modified_drug	58
84	6457	DRUG	acetaminophen / hydrocodone oral capsule	acetaminophen / hydrocodone oral capsule	Acetaminophen; Hydrocodone	modified_drug	58
85	6458	DRUG	acetaminophen / hydrocodone oral product	acetaminophen / hydrocodone oral product	Acetaminophen; Hydrocodone	modified_drug	58
86	6459	DRUG	acetaminophen / hydrocodone pill	acetaminophen / hydrocodone pill	Acetaminophen; Hydrocodone	modified_drug	57
87	6460	DRUG	acetaminophen / ibuprofen oral tablet	acetaminophen / ibuprofen oral tablet	Acetaminophen; Ibuprofen, (+-)-	modified_drug	69
88	6461	DRUG	acetaminophen / oxycodone oral capsule	acetaminophen / oxycodone oral capsule	Acetaminophen; Oxycodone	modified_drug	58
89	6462	DRUG	acetaminophen / phenyltoloxamine pill	acetaminophen / phenyltoloxamine pill	Acetaminophen; Phenyltoloxamine	modified_drug	48
90	6463	DRUG	acetaminophen / propoxyphene oral tablet	acetaminophen / propoxyphene oral tablet	Acetaminophen; Propoxyphene	modified_drug	51
91	6464	DRUG	acetaminophen / tramadol pill	acetaminophen / tramadol pill	Acetaminophen; Tramadol	modified_drug	71
92	6465	DRUG	acetaminophen 250 mg / aspirin 250 mg / caffeine 65 mg oral tablet [excedrin]	acetaminophen 250 mg / aspirin 250 mg / caffeine 65 mg oral tablet [excedrin]	Acetaminophen; Aspirin; Caffeine	modified_drug	105
93	6466	DRUG	acetaminophen 325 mg / benzhydrocodone 4.08 mg oral tablet	acetaminophen 325 mg / benzhydrocodone 4.08 mg oral tablet	Acetaminophen; Benzhydrocodone	DailyMed	207
94	6467	DRUG	acetaminophen/caffeine/dihydrocodeine	acetaminophen/caffeine/dihydrocodeine	Acetaminophen; Caffeine; Dihydrocodeine	modified_drug	65
95	6468	DRUG	acetaminophen/pentazocine	acetaminophen/pentazocine	Acetaminophen; Pentazocine	modified_drug	45
96	36	DRUG	acetazolamide	acetazolamide	Acetazolamide	standard	45
97	37	DRUG	acetic acid	acetic acid	Acetic Acid	standard	39
98	8690	DRUG	Acetoacetic acid	acetoacetic acid	Acetoacetic acid	PubChem	56
99	38	DRUG	acetohexamide	acetohexamide	Acetohexamide	standard	58
100	39	DRUG	acetohydroxamic acid	acetohydroxamic acid	Acetohydroxamic Acid	standard	57
101	40	DRUG	acetophenazine	acetophenazine	Acetophenazine	standard	55
102	8815	DRUG	Acetophenone	acetophenone	Acetophenone	PubChem	36
103	41	DRUG	acetyl sulfisoxazole	acetyl sulfisoxazole	Sulfisoxazole Acetyl	standard	10
104	42	DRUG	acetylcarnitine	acetylcarnitine	Acetyl-L-Carnitine	standard	64
105	43	DRUG	acetylcholine	acetylcholine	Acetylcholine	standard	46
106	44	DRUG	acetylcysteine	acetylcysteine	N-Acetyl-L-Cysteine	standard	69
107	8407	DRUG	Acetylcysteine zinc	acetylcysteine zinc	ACETYLCYSTEINE ZIDRIMER	ChEMBL	20
108	45	DRUG	acetyldigitoxin	acetyldigitoxin	Acetyldigitoxin	standard	46
109	46	DRUG	acetylmethadol	acetylmethadol	Methadyl Acetate	standard	4
110	47	DRUG	acetylsalicylic acid	acetylsalicylic acid	Aspirin	standard	124
111	8198	DRUG	Acifluorfen	acifluorfen	Acifluorfen	PubChem	82
112	48	DRUG	acipimox	acipimox	Acipimox	standard	6
113	8058	DRUG	Acitretin	acitretin	Acitretin	NCI Thesaurus	52
114	8256	DRUG	Aclarubicin	aclarubicin	Aclarubicin	PubChem	91
115	49	DRUG	aclidinium	aclidinium	Aclidinium	standard	77
116	6469	DRUG	aclidinium / formoterol dry powder inhaler	aclidinium / formoterol dry powder inhaler	Aclidinium; Formoterol	modified_drug	55
117	50	DRUG	acoltremon	acoltremon	Acoltremon	DailyMed	128
118	51	DRUG	acoramidis hydrochloride	acoramidis hydrochloride	Acoramidis Hydrochloride	NCI Thesaurus	103
119	52	DRUG	acotiamide	acotiamide	Acotiamide	standard	6
120	6372	DRUG	acp-001	acp-001	LONAPEGSOMATROPIN-TCGD	alias_drug	437
